GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
login-generator,geco,LoginGenerator,64,0,2,0,13,0,4,0,3,0
login-generator,geco,LoginService,5,48,0,4,1,13,1,6,1,4
